#g	v	lambda	Energy
1	1	0	12.5624
1	1	0.05	13.6871
1	1	0.1	14.0834
1	1	0.15	14.3543
1	1	0.2	14.5648
1	1	0.25	14.7386
1	1	0.3	14.8874
1	1	0.35	15.018
1	1	0.4	15.1345
1	1	0.45	15.2399
1	1	0.5	15.3362
1	1	0.55	15.4249
1	1	0.6	15.5072
1	1	0.65	15.584
1	1	0.7	15.656
1	1	0.75	15.7238
1	1	0.8	15.7879
1	1	0.85	15.8486
1	1	0.9	15.9064
1	1	0.95	15.9614
1	1	1	16.014
1	1	1.05	16.0644
1	1	1.1	16.1127
1	1	1.15	16.1591
1	1	1.2	16.2037
1	1	1.25	16.2467
1	1	1.3	16.2883
1	1	1.35	16.3284
1	1	1.4	16.3672
1	1	1.45	16.4048
1	1	1.5	16.4412
1	1	1.55	16.4765
1	1	1.6	16.5108
1	1	1.65	16.5442
1	1	1.7	16.5766
1	1	1.75	16.6082
1	1	1.85	16.6689
1	1	1.9	16.6981
1	1	1.95	16.7266
