#g	v	lambda	Energy
1	0.2	1	3.03642
1	0.25	1	3.84785
1	0.3	1	4.65945
1	0.35	1	5.47103
1	0.4	1	6.28258
1	0.45	1	7.09408
1	0.5	1	7.90552
1	0.55	1	8.71689
1	0.6	1	9.52818
1	0.65	1	10.3394
1	0.7	1	11.1505
1	0.75	1	11.9615
1	0.85	1	13.583
1	0.95	1	15.2039
1	1	1	16.014
1	1.05	1	16.824
1	1.1	1	17.6337
1	1.15	1	18.4431
1	1.2	1	19.2522
1	1.25	1	20.0611
1	1.3	1	20.8696
1	1.35	1	21.6778
1	1.4	1	22.4856
1	1.45	1	23.293
1	1.5	1	24.1
1	1.55	1	24.9065
1	1.6	1	25.7126
1	1.65	1	26.5182
1	1.7	1	27.3232
1	1.75	1	28.1277
